City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Camacari,BR,-12.6975,-38.3242,82.17,80,71,7.07,broken clouds
1,Bardiyah,LY,31.7561,25.0865,65.88,64,0,7.87,clear sky
2,Emerald,AU,-23.5333,148.1667,68.34,40,86,13.18,overcast clouds
3,Galashiels,GB,55.6146,-2.807,37.53,91,84,2.55,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,64.51,45,0,26.46,clear sky
5,Kodiak,US,57.79,-152.4072,36.91,65,100,13.8,overcast clouds
6,Nikolskoye,RU,59.7035,30.7861,26.49,81,100,6.89,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,62.22,55,75,10.36,moderate rain
8,Dutlwe,BW,-23.9833,23.9,83.23,28,69,3.8,broken clouds
9,Busselton,AU,-33.65,115.3333,61.02,79,3,7.94,clear sky
10,Vaini,TO,-21.2,-175.2,78.64,80,13,14.81,few clouds
11,Rikitea,PF,-23.1203,-134.9692,73.81,85,95,12.44,light rain
12,Chokurdakh,RU,70.6333,147.9167,-34.78,100,84,1.88,broken clouds
13,Ribeira Grande,PT,38.5167,-28.7,64.8,88,75,16.11,broken clouds
14,Chuy,UY,-33.6971,-53.4616,69.03,63,63,11.68,broken clouds
15,Cabo San Lucas,MX,22.8909,-109.9124,83.61,55,0,11.5,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,100,5.91,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,63.81,73,92,7.99,overcast clouds
18,Kungurtug,RU,50.5994,97.5228,5.95,93,94,1.32,overcast clouds
19,Clyde River,CA,70.4692,-68.5914,7.03,72,100,29.93,haze
20,Santa Rosa,PH,14.3122,121.1114,80.58,86,100,6.15,overcast clouds
21,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,21.85,few clouds
22,Igrim,RU,63.1906,64.4162,-14.78,99,6,1.23,clear sky
23,Hoquiam,US,46.9809,-123.8893,53.58,92,100,21.85,moderate rain
24,Shimoda,JP,34.6667,138.95,58.66,91,100,15.97,overcast clouds
25,Statesboro,US,32.4488,-81.7832,67.53,48,100,6.91,overcast clouds
26,Gari,RU,59.4307,62.3497,-3.87,99,16,1.1,few clouds
27,Pisco,PE,-13.7,-76.2167,69.85,73,0,10.36,clear sky
28,Kapaa,US,22.0752,-159.319,79.12,73,75,12.66,broken clouds
29,Lebu,CL,-37.6167,-73.65,62.71,75,17,14.88,few clouds
30,Port Elizabeth,ZA,-33.918,25.5701,69.31,83,0,11.5,clear sky
31,Provideniya,RU,64.3833,-173.3,3.18,85,100,11.77,overcast clouds
32,Faanui,PF,-16.4833,-151.75,79.02,79,4,3.83,clear sky
33,Dikson,RU,73.5069,80.5464,-12.17,93,100,15.21,overcast clouds
34,Poso,ID,-1.3959,120.7524,77.59,81,100,2.64,overcast clouds
35,Cayenne,GF,4.9333,-52.3333,84.24,65,20,11.5,few clouds
36,Jardim,BR,-21.4803,-56.1381,84.63,53,74,9.55,broken clouds
37,Hithadhoo,MV,-0.6,73.0833,80.51,78,16,12.21,few clouds
