City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,72.3,66,98,12.68,PF,2022-11-19 02:52:54
1,Hilo,19.7297,-155.09,79.25,94,22,4.88,US,2022-11-19 02:53:52
2,Kapaa,22.0752,-159.319,79.12,79,32,4.0,US,2022-11-19 02:53:52
3,Castro,-24.7911,-50.0119,51.3,92,0,6.17,BR,2022-11-19 02:53:53
4,Comodoro Rivadavia,-45.8667,-67.5,67.86,26,0,20.71,AR,2022-11-19 02:53:53
5,Bengkulu,-3.8004,102.2655,81.57,73,100,9.69,ID,2022-11-19 02:49:21
6,Mataura,-46.1927,168.8643,65.66,61,31,11.16,NZ,2022-11-19 02:53:53
7,Hualmay,-11.0964,-77.6139,63.84,83,98,10.16,PE,2022-11-19 02:53:54
8,Vila Velha,-20.3297,-40.2925,70.95,78,0,9.22,BR,2022-11-19 02:53:54
9,Ponta Delgada,37.7333,-25.6667,61.52,63,75,5.75,PT,2022-11-19 02:53:54
10,Severo-Kurilsk,50.6789,156.125,33.55,70,76,17.54,RU,2022-11-19 02:53:55
11,Punta Arenas,-53.15,-70.9167,53.71,43,40,6.91,CL,2022-11-19 02:49:20
12,Borjomi,41.8527,43.4128,44.17,72,44,5.68,GE,2022-11-19 02:53:55
13,Tooele,40.5308,-112.2983,29.12,63,3,5.88,US,2022-11-19 02:51:56
14,Ushuaia,-54.8,-68.3,58.66,33,20,20.71,AR,2022-11-19 02:50:56
15,Husavik,66.0449,-17.3389,39.06,93,93,9.22,IS,2022-11-19 02:53:55
16,Avarua,-21.2078,-159.775,78.85,65,20,9.22,CK,2022-11-19 02:53:56
17,Georgetown,5.4112,100.3354,85.93,83,20,8.05,MY,2022-11-19 02:53:44
18,Karratha,-20.7377,116.8463,84.74,24,97,4.16,AU,2022-11-19 02:53:56
19,Hithadhoo,-0.6,73.0833,81.23,75,78,12.15,MV,2022-11-19 02:53:57
20,Tura,25.5198,90.2201,71.29,59,17,2.01,IN,2022-11-19 02:53:58
21,Lasa,46.6166,10.7002,37.02,74,78,3.71,IT,2022-11-19 02:53:58
22,Sapele,5.8941,5.6767,75.74,89,54,2.46,NG,2022-11-19 02:53:58
23,Busselton,-33.65,115.3333,64.33,49,72,15.79,AU,2022-11-19 02:53:59
24,Mahebourg,-20.4081,57.7,73.26,88,20,5.75,MU,2022-11-19 02:53:59
25,Kortkeros,61.8106,51.5806,8.6,98,51,1.95,RU,2022-11-19 02:53:59
26,Turukhansk,65.8167,87.9833,7.12,94,100,19.01,RU,2022-11-19 02:54:00
27,Victoria,22.2855,114.1577,83.97,72,48,4.0,HK,2022-11-19 02:53:40
28,Chuy,-33.6971,-53.4616,64.47,87,40,10.63,UY,2022-11-19 02:51:11
29,Palmer,42.1584,-72.3287,36.01,67,75,5.75,US,2022-11-19 02:49:37
